,loss,mse,mae,r_square,val_loss,val_mse,val_mae,val_r_square
3099,1.3847098467856256e-10,1.3847098467856256e-10,9.577502169122454e-06,0.9982039928436279,3.5724803670866834e-10,3.5724803670866834e-10,1.8302116586710326e-05,0.9920010566711426
3100,9.400885625510114e-10,9.400885625510114e-10,2.741924618021585e-05,0.9868181347846985,3.7746254039072724e-11,3.7746254039072724e-11,4.651537437894149e-06,0.999294638633728
3101,3.760365907545804e-10,3.760365907545804e-10,1.5094572518137284e-05,0.9949577450752258,1.449420694576986e-09,1.449420694576986e-09,3.782393832807429e-05,0.9681781530380249
3102,1.8078201158289176e-09,1.8078201158289176e-09,3.2682917662896216e-05,0.9734556674957275,3.691119632165396e-09,3.691119632165396e-09,6.036453851265833e-05,0.9164431691169739
3103,1.5089162141990187e-09,1.5089162141990187e-09,3.3912630897248164e-05,0.9800861477851868,2.1582793330310324e-09,2.1582793330310324e-09,4.607893788488582e-05,0.9528259038925171
3104,1.8088741615684967e-09,1.8088741615684967e-09,3.57907047146e-05,0.9775571227073669,2.1892937462908435e-10,2.1892937462908435e-10,1.2316102584009059e-05,0.9956479072570801
3105,2.1169146435795483e-09,2.1169146435795483e-09,3.947010918636806e-05,0.9758476614952087,2.9126406841939456e-10,2.9126406841939456e-10,1.562368379381951e-05,0.9933759570121765
3106,1.7043108035963428e-09,1.7043108035963428e-09,3.63099024980329e-05,0.9806728363037109,3.4699887407896313e-09,3.4699887407896313e-09,5.8571025874698535e-05,0.9235159158706665
3107,9.635505726635074e-10,9.635505726635074e-10,2.6362258722656406e-05,0.9887440204620361,9.552404423018857e-10,9.552404423018857e-10,3.0345241611939855e-05,0.9792805314064026
3108,8.239402493614989e-10,8.239402493614989e-10,2.5014498532982543e-05,0.9884800314903259,4.5449538577102544e-10,4.5449538577102544e-10,2.0288640371290967e-05,0.989807665348053
3109,2.424526968081153e-10,2.424526968081153e-10,1.3146718629286624e-05,0.9967399835586548,2.440262714120678e-10,2.440262714120678e-10,1.4730674593010917e-05,0.9945039749145508
3110,1.0149615869980977e-10,1.0149615869980977e-10,8.220170457207132e-06,0.9987474083900452,3.422065408820174e-11,3.422065408820174e-11,4.719046501122648e-06,0.999319851398468
3111,3.0509167414649596e-10,3.0509167414649596e-10,1.4437699064728804e-05,0.9958629608154297,4.977853199084059e-11,4.977853199084059e-11,5.8841633290285245e-06,0.9989156723022461
3112,2.9879074214811396e-10,2.9879074214811396e-10,1.4560647286998574e-05,0.995766282081604,1.051268072593814e-09,1.051268072593814e-09,3.207046756870113e-05,0.976473331451416
3113,8.29730284479524e-10,8.29730284479524e-10,2.363146086281631e-05,0.989316999912262,5.990215545814692e-10,5.990215545814692e-10,2.388341454206966e-05,0.9868897199630737
3114,7.598151552379306e-10,7.598151552379306e-10,2.2876654838910326e-05,0.9915393590927124,9.267191458661728e-10,9.267191458661728e-10,2.9934053600300103e-05,0.9797772169113159
3115,4.5642706281157075e-10,4.5642706281157075e-10,1.8983149857376702e-05,0.9936962723731995,2.720976499670513e-10,2.720976499670513e-10,1.559083284519147e-05,0.994053065776825
3116,2.103656415730626e-10,2.103656415730626e-10,1.2719432561425492e-05,0.9974607229232788,8.390557693083167e-10,8.390557693083167e-10,2.8547488909680396e-05,0.9812871217727661
3117,1.13808340529431e-09,1.13808340529431e-09,2.883076922444161e-05,0.9847370386123657,1.2109342417687685e-09,1.2109342417687685e-09,3.436285624047741e-05,0.9734275341033936
3118,3.245799184981024e-10,3.245799184981024e-10,1.5035341675684322e-05,0.9965154528617859,1.0349212598015356e-09,1.0349212598015356e-09,3.178920451318845e-05,0.9770423173904419
3119,8.996758893431434e-10,8.996758893431434e-10,2.618231337692123e-05,0.9869138598442078,2.1004649408684628e-10,2.1004649408684628e-10,1.3740563190367538e-05,0.9953643679618835
3120,5.479213749381984e-10,5.479213749381984e-10,1.9828094082186e-05,0.9928522109985352,2.826356704233035e-09,2.826356704233035e-09,5.294754009810276e-05,0.937350869178772
3121,9.16563103192658e-10,9.16563103192658e-10,2.6463259928277694e-05,0.9878692626953125,4.0179240490267887e-10,4.0179240490267887e-10,1.9173830878571607e-05,0.9911929965019226
3122,2.4539343890239707e-09,2.4539343890239707e-09,4.502635056269355e-05,0.9700952172279358,4.017182142490583e-10,4.017182142490583e-10,1.8220638594357297e-05,0.9912834167480469
3123,8.001998175188874e-09,8.001998175188874e-09,7.794727571308613e-05,0.8908714056015015,4.621887872424679e-10,4.621887872424679e-10,1.8824646758730523e-05,0.9889639616012573
3124,8.171853749239233e-10,8.171853749239233e-10,2.316490645171143e-05,0.9883902072906494,4.361730976398803e-10,4.361730976398803e-10,1.9440773030510172e-05,0.991448163986206
